Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;2;89;113;1553,447;1820,473;38,627;12,719;11,312;178,611;13,416;1547;1818;153,435;11;2,5425;0,899612631;;;;
1;na;2;90;282;1865,858;1860,525;62,184;20,115;17,85;96,945;21,19;1864;1850;109,29;18,743;6,345;1,421153133;;;;
1;na;2;91;192;1903,365;1868,167;56,627;23,606;10,356;1,913;23,195;1892;1867;172,569;10;4,32;1,172646029;;;;
1;na;2;92;458;651,812;1896,795;83,841;29,246;19,94;7,458;30,083;636;1901;15,422;21,974;10,305;1,811127653;;;;
1;na;2;93;1703;786,72;1942,612;166,409;59,465;36,464;150,414;61,847;761;1929;157,166;39,578;38,3175;3,492397323;;;;
1;na;2;94;3928;979,088;1983,851;242,492;84,221;59,383;62,003;83,522;970;2023;73,301;58,195;88,38;5,303982253;;;;
1;na;2;95;707;1634,739;1979,196;120,326;51,346;17,532;99,743;50,804;1628;1955;100,204;18,578;15,9075;2,250225436;;;;
1;na;2;96;344;1092,953;1968,038;68,77;24,651;17,768;107,196;25,298;1089;1956;108,435;18;7,74;1,569623687;;;;
1;na;2;97;223;780,684;1983,365;60,77;21,59;13,151;86,995;23,537;780;1994;77,735;14;5,0175;1,263772074;;;;
1;na;3;1;417;1217,409;15,457;76,426;26,798;19,813;112,719;27,459;1210;4;123,111;20,557;9,3825;1,728161598;;;;
1;na;3;2;3125;379,746;54,423;214,551;74,02;53,754;7,62;75,24;342;59;4,574;54,791;70,3125;4,730873479;;;;
1;na;3;3;95;1775,237;38,637;36,042;13,234;9,14;107,865;13,601;1774;32;107,103;9,49;2,1375;0,824855976;;;;
1;na;3;4;543;869,493;60,067;87,255;30,267;22,842;93,066;30,806;864;46;103,134;23;12,2175;1,972042351;;;;
1;na;3;5;147;1786,595;65,997;44,627;15,806;11,842;125,888;17,029;1782;59;130,236;12,653;3,3075;1,026065275;;;;
1;na;3;6;4910;171,414;110,455;276,534;86,834;71,995;135,728;93,15;141;76;119,592;71,007;110,475;5,930032435;;;;
