Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;area_in_nm2;radius_in_nm;;;;
1;na;2;29;229;1896,168;665,627;55,113;18,447;15,806;171,992;19,313;1887;662;158,749;16;5,1525;1,280660645;;;;
1;na;2;30;2262;1143,815;686,053;187,095;60,169;47,866;153,134;64,537;1120;668;139,399;49,781;50,895;4,024969771;;;;
1;na;2;31;202;1647,946;676,168;53,941;19,974;12,877;119,351;20,616;1644;667;112,834;13,808;4,545;1,202796089;;;;
1;na;2;32;600;1705,288;696,615;92,326;29,88;25,567;77,942;31,048;1703;712;75,069;26;13,5;2,072964897;;;;
1;na;2;33;7033;520,588;746,11;333,362;108,164;82,788;160,174;113,217;466;728;155,472;85,38;158,2425;7,09719326;;;;
1;na;2;34;2110;382,8;734,313;175,137;61,104;43,967;54,802;62,968;369;763;69,55;45,004;47,475;3,887384962;;;;
1;na;2;35;438;1999,071;719,114;76,426;26,413;21,114;10,728;27,514;1986;723;19,093;21;9,855;1,771141984;;;;
1;na;2;36;221;1764,83;738,179;53,941;17,935;15,689;87,015;18,974;1761;747;71,565;16;4,9725;1,25809217;;;;
1;na;2;37;664;803,389;751,354;97,497;33,055;25,576;2,756;33,734;787;755;11,976;26;14,94;2,180722289;;;;
1;na;2;38;123;232,947;760,947;41,456;14,633;10,702;100,887;15,232;230;754;113,199;11;2,7675;0,938574776;;;;
1;na;2;39;1235;673,648;778,749;130,711;42,433;37,057;121,139;44,102;660;761;122,969;38,184;27,7875;2,974060518;;;;
1;na;2;40;6127;921,973;805,048;342,676;115,88;67,321;159,293;124,535;854;798;168,419;76,257;137,8575;6,624304125;;;;
1;na;2;41;56;32,607;771,786;26,971;9,288;7,677;139,683;10,296;28;769;150,945;8;1,26;0,633301237;;;;
1;na;2;42;694;745,522;784,108;98,225;31,409;28,133;132,551;33,121;736;771;118,887;28,284;15,615;2,229441381;;;;
1;na;2;43;380;1773,753;783,747;73,012;24,303;19,908;18,915;25,298;1762;789;18,435;20,56;8,55;1,649711953;;;;
1;na;2;44;218;1092,317;785,133;54,527;18,463;15,034;160,814;19,416;1084;780;145,491;15,895;4,905;1,249523906;;;;
1;na;2;45;1977;1258,226;804,245;170,51;54,609;46,095;6,069;57,567;1230;797;162,824;45,797;44,4825;3,762873837;;;;
