Sample;Tilt angle to optical axis;Image;;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;11;8;1611;925,591;1007,529;149,882;51,46;39,86;2,626;51,662;900;1001;165,426;39;36,2475;3,39675398;;;;
1;na;11;9;1888;1873,082;1060,17;168,811;62,939;38,194;178,419;61,66;1842;1067;8,393;36;42,48;3,677200561;;;;
1;na;11;10;9825;416,177;1292,678;379,889;122,906;101,782;15,527;126,775;356;1289;6,34;103,773;221,0625;8,388467036;;;;
1;na;11;11;9097;1828,975;1285,933;428,617;166,981;69,365;0,204;169,358;1748;1285;176,276;74,57;204,6825;8,071707581;;;;
1;na;11;12;4709;552,03;1308,625;269,078;98,755;60,713;37,28;99,358;520;1347;49,899;59,366;105,9525;5,807385661;;;;
1;na;11;13;2600;1288,175;1450,278;194,167;64,263;51,514;78,888;67,779;1276;1482;68,356;51,739;58,5;4,315220544;;;;
1;na;11;14;4324;524,44;1523,054;263,421;97,156;56,666;78,103;97,329;522;1572;85,285;56,731;97,29;5,564923075;;;;
1;na;11;15;2302;1017,658;1528,902;184,309;63,89;45,876;84,955;66,189;1014;1496;94,332;47,86;51,795;4,060401526;;;;
1;na;11;16;3331;408,387;1599,175;240,853;95,886;44,231;175,255;93,172;364;1587;167,605;44,623;74,9475;4,884314711;;;;
1;na;11;17;8952;295,112;1812,873;366,759;127,46;89,425;141,565;125;257;1763;126,87;87,09;201,42;8,007120411;;;;
1;na;11;18;7956;1783,413;1828,791;369,061;123,405;82,086;11,88;136,062;1712;1852;14,036;89,259;179,01;7,548553022;;;;
1;na;11;19;6533;267,124;1921,135;314,735;108,201;76,876;174,102;109,385;213;1907;165,71;78,787;146,9925;6,840260664;;;;
2;na;1;1;6783;694,906;67,319;341,622;128,862;67,02;73,402;124,342;665;121;58,483;63,846;152,6175;6,969910979;;;;
2;na;1;2;8833;1688,424;264,739;367,002;125,981;89,271;37,707;125,24;1660;320;62,412;84,7;198,7425;7,95372256;;;;
2;na;1;3;7446;1093,419;456,082;392,416;157,042;60,37;133,509;157,813;1045;400;132,689;67,383;167,535;7,302605479;;;;
2;na;1;4;11257;971,215;580,905;465,47;190,833;75,107;123,197;180,278;918;504;130,05;73,486;253,2825;8,978993471;;;;
2;na;1;5;11105;718,693;608,438;427,22;158,502;89,206;161,685;155,724;651;571;148,658;89,247;249,8625;8,918167073;;;;
2;na;1;6;9859;149,295;725,114;406,357;153,579;81,735;128,607;148,054;89;682;141,582;79,483;221,8275;8,402968897;;;;
2;na;1;7;11723;857,625;1138,611;435,973;136,171;109,613;15,774;149,255;783;1170;11,988;116,811;263,7675;9,162958196;;;;
2;na;1;8;19198;436,062;1194,31;652,365;274,028;89,201;126,838;266,603;361;1090;126,612;89,371;431,955;11,72584952;;;;
2;na;1;9;3013;1664,512;1129,624;225,765;82,88;46,287;120,051;85,235;1643;1091;121,079;47,843;67,7925;4,645322697;;;;
2;na;1;10;6171;209,389;1442,121;304,09;103,621;75,826;126,209;102,927;165;1416;147,7;73,404;138,8475;6,648047226;;;;
2;na;1;11;8942;1300,52;1502,711;470,6;194,634;58,496;128,832;190,245;1232;1438;133,935;67,827;201,195;8,002646909;;;;
2;na;1;12;3025;970,333;1514,97;211,095;70,491;54,639;119,718;73,593;944;1489;132,797;54,602;68,0625;4,654564064;;;;
2;na;1;13;3763;1457,063;1544,63;242,066;89,473;53,549;168,215;86,977;1415;1532;160,523;52,396;84,6675;5,191387318;;;;
2;na;1;14;9340;1148,615;1835,625;395,973;150,801;78,859;125,33;144,045;1097;1787;139,787;76,734;210,15;8,178803249;;;;
2;na;1;15;4324;1008,151;1931,963;252,492;87,46;62,949;126,632;86,839;973;1907;144,846;61,231;97,29;5,564923075;;;;
2;na;2;1;8827;241,147;574,249;375,487;139,946;80,309;126,026;134,063;190;531;139,538;77,577;198,6075;7,951020734;;;;
2;na;2;2;8909;1317,407;669,719;369,019;124,284;91,269;134,346;129,557;1266;627;137,816;93,222;200,4525;7,987866578;;;;
2;na;2;3;8332;874,757;819,077;361,037;132,039;80,345;84,748;129,031;860;754;104,359;78,513;187,47;7,724865977;;;;
2;na;2;4;3250;1918,624;967,196;224,25;83,067;49,815;121,774;82,079;1904;930;112,19;49,473;73,125;4,824563237;;;;
2;na;2;5;3176;1070,137;971,871;215,279;69,723;57,998;42,543;72,918;1055;1005;64,841;57,441;71,46;4,769321175;;;;
